modDirectSearch,kmp,bmx,rabin_karp,aho_find_all,lib_find,textLen,subLen,index
5.245208740234375e-06,5.7220458984375e-06,2.09808349609375e-05,2.2172927856445312e-05,2.09808349609375e-05,0.0,11,3,8
3.0994415283203125e-06,3.0994415283203125e-06,3.814697265625e-06,1.1205673217773438e-05,1.1920928955078125e-05,0.0,11,3,5
2.86102294921875e-06,4.0531158447265625e-06,1.0013580322265625e-05,7.867813110351562e-06,1.621246337890625e-05,0.0,11,3,0
3.0994415283203125e-06,2.6226043701171875e-06,6.198883056640625e-06,1.3113021850585938e-05,1.6927719116210938e-05,9.5367431640625e-07,11,3,2
3.0994415283203125e-06,4.76837158203125e-06,6.9141387939453125e-06,2.0265579223632812e-05,2.5033950805664062e-05,9.5367431640625e-07,11,3,1
3.0994415283203125e-06,4.0531158447265625e-06,7.152557373046875e-06,1.4781951904296875e-05,0.00011110305786132812,9.5367431640625e-07,11,3,5
3.814697265625e-06,6.198883056640625e-06,6.9141387939453125e-06,1.7881393432617188e-05,2.3126602172851562e-05,9.5367431640625e-07,11,3,5
2.6226043701171875e-06,5.245208740234375e-06,5.9604644775390625e-06,1.621246337890625e-05,1.5735626220703125e-05,0.0,11,3,8
3.0994415283203125e-06,3.814697265625e-06,5.9604644775390625e-06,1.6927719116210938e-05,1.71661376953125e-05,0.0,11,3,8
4.0531158447265625e-06,4.0531158447265625e-06,5.7220458984375e-06,1.4066696166992188e-05,2.002716064453125e-05,0.0,11,3,3
2.86102294921875e-06,4.0531158447265625e-06,5.9604644775390625e-06,1.1920928955078125e-05,2.002716064453125e-05,0.0,11,3,0
4.0531158447265625e-06,5.0067901611328125e-06,6.9141387939453125e-06,1.811981201171875e-05,1.9073486328125e-05,0.0,11,3,6
3.0994415283203125e-06,4.0531158447265625e-06,5.245208740234375e-06,9.059906005859375e-06,1.9073486328125e-05,0.0,11,3,0
3.0994415283203125e-06,4.0531158447265625e-06,1.7881393432617188e-05,1.3113021850585938e-05,1.1920928955078125e-05,0.0,11,3,6
1.9073486328125e-06,3.0994415283203125e-06,4.0531158447265625e-06,5.9604644775390625e-06,1.0967254638671875e-05,0.0,11,3,0
2.86102294921875e-06,5.0067901611328125e-06,5.9604644775390625e-06,1.5020370483398438e-05,1.5735626220703125e-05,0.0,11,3,7
3.0994415283203125e-06,1.7881393432617188e-05,5.9604644775390625e-06,2.6226043701171875e-05,6.079673767089844e-05,0.0,11,3,7
3.0994415283203125e-06,3.814697265625e-06,6.198883056640625e-06,1.5974044799804688e-05,1.5974044799804688e-05,0.0,11,3,7
1.9073486328125e-06,2.86102294921875e-06,6.198883056640625e-06,1.5974044799804688e-05,1.5974044799804688e-05,9.5367431640625e-07,11,3,3
3.0994415283203125e-06,4.0531158447265625e-06,6.9141387939453125e-06,2.0265579223632812e-05,2.0265579223632812e-05,0.0,11,3,2
1.9073486328125e-06,2.86102294921875e-06,5.0067901611328125e-06,1.0967254638671875e-05,1.0967254638671875e-05,0.0,11,3,6
1.9073486328125e-06,2.6226043701171875e-06,4.0531158447265625e-06,6.9141387939453125e-06,1.52587890625e-05,9.5367431640625e-07,11,3,0
1.9073486328125e-06,3.0994415283203125e-06,5.0067901611328125e-06,8.106231689453125e-06,1.1920928955078125e-05,1.1920928955078125e-06,11,3,2
3.0994415283203125e-06,4.0531158447265625e-06,5.9604644775390625e-06,2.002716064453125e-05,1.5020370483398438e-05,9.5367431640625e-07,11,3,7
4.0531158447265625e-06,4.0531158447265625e-06,5.0067901611328125e-06,1.5020370483398438e-05,1.4781951904296875e-05,9.5367431640625e-07,11,3,6
3.0994415283203125e-06,4.76837158203125e-06,7.152557373046875e-06,1.3828277587890625e-05,1.9311904907226562e-05,0.0,11,3,4
1.9073486328125e-06,2.1457672119140625e-06,3.0994415283203125e-06,1.0967254638671875e-05,1.2159347534179688e-05,9.5367431640625e-07,11,3,0
2.1457672119140625e-06,2.6226043701171875e-06,4.291534423828125e-06,7.867813110351562e-06,1.0013580322265625e-05,0.0,11,3,3
4.291534423828125e-06,3.814697265625e-06,6.198883056640625e-06,1.1920928955078125e-05,1.5974044799804688e-05,9.5367431640625e-07,11,3,5
2.86102294921875e-06,3.0994415283203125e-06,4.0531158447265625e-06,6.9141387939453125e-06,1.4781951904296875e-05,0.0,11,3,0
4.291534423828125e-06,3.814697265625e-06,5.9604644775390625e-06,1.8835067749023438e-05,2.2172927856445312e-05,9.5367431640625e-07,11,3,1
3.814697265625e-06,5.0067901611328125e-06,6.9141387939453125e-06,1.7881393432617188e-05,1.7881393432617188e-05,0.0,11,3,8
4.0531158447265625e-06,4.0531158447265625e-06,7.152557373046875e-06,1.5974044799804688e-05,2.002716064453125e-05,0.0,11,3,5
3.0994415283203125e-06,3.814697265625e-06,6.198883056640625e-06,1.0013580322265625e-05,1.8835067749023438e-05,0.0,11,3,0
1.9073486328125e-06,3.0994415283203125e-06,5.245208740234375e-06,1.0967254638671875e-05,1.5020370483398438e-05,9.5367431640625e-07,11,3,4
2.1457672119140625e-06,2.86102294921875e-06,5.245208740234375e-06,1.1920928955078125e-05,1.4781951904296875e-05,1.1920928955078125e-06,11,3,4
